ExCuSe,Dummy
80.19,210.19
78.25,208.25
76.31,206.31
74.37,204.37
27.560000000000002,202.44
29.5,200.5
10.5,199.5
31.5,198.5
32.5,197.5
33.5,196.5
14.5,195.5
25.5,194.5
36.5,193.5
27.5,192.5
7.819999999999993,192.18
18.129999999999995,191.87
18.430000000000007,191.57
28.75,191.25
9.069999999999993,190.93
29.370000000000005,190.63
29.680000000000007,190.32
20.0,190.0
11.180000000000007,188.82
22.370000000000005,187.63
23.569999999999993,186.43
24.75,185.25
35.93000000000001,184.07
27.129999999999995,182.87
28.319999999999993,181.68
19.5,180.5
30.25,179.75
21.0,179.0
11.75,178.25
22.5,177.5
13.25,176.75
4.0,176.0
45.25,175.25
44.5,174.5
53.69,173.69
17.129999999999995,172.87
52.06,172.06
41.25,171.25
9.560000000000002,170.44
39.629999999999995,169.63
11.189999999999998,168.81
12.0,168.0
37.120000000000005,167.12
36.24000000000001,166.24
35.379999999999995,165.38
44.5,164.5
43.620000000000005,163.62
42.75999999999999,162.76
31.879999999999995,161.88
19.0,161.0
40.56,160.56
19.879999999999995,160.12
10.310000000000002,159.69
0.75,159.25
58.81,158.81
1.6200000000000045,158.38
12.060000000000002,157.94
12.5,157.5
2.8799999999999955,157.12
3.25,156.75
13.620000000000005,156.38
14.0,156.0
4.3799999999999955,155.62
4.75,155.25
15.120000000000005,154.88
5.5,154.5
35.19,155.19
4.1299999999999955,155.87
13.439999999999998,156.56
12.75,157.25
2.0600000000000023,157.94
11.370000000000005,158.63
10.689999999999998,159.31
10.0,160.0
9.939999999999998,160.06
40.120000000000005,160.12
9.810000000000002,160.19
9.75,160.25
9.689999999999998,160.31
9.620000000000005,160.38
40.44,160.44
40.5,160.5
9.939999999999998,160.06
39.629999999999995,159.63
0.8100000000000023,159.19
1.25,158.75
38.31,158.31
12.129999999999995,157.87
2.5600000000000023,157.44
13.0,157.0
13.189999999999998,156.81
36.620000000000005,156.62
13.560000000000002,156.44
13.75,156.25
13.939999999999998,156.06
14.120000000000005,155.88
14.310000000000002,155.69
4.5,155.5
14.689999999999998,155.31
35.129999999999995,155.13
15.060000000000002,154.94
5.25,154.75
5.439999999999998,154.56
5.6299999999999955,154.37
5.810000000000002,154.19
26.0,154.0
26.560000000000002,153.44
7.1200000000000045,152.88
17.689999999999998,152.31
18.25,151.75
18.810000000000002,151.19
19.379999999999995,150.62
19.939999999999998,150.06
20.5,149.5
21.689999999999998,148.31
22.870000000000005,147.13
54.06,145.94
25.25,144.75
3.5600000000000023,143.56
10.629999999999995,142.37
18.810000000000002,141.19
40.0,140.0
40.25999999999999,139.74
20.5,139.5
20.74000000000001,139.26
21.0,139.0
41.25999999999999,138.74
21.5,138.5
20.25999999999999,138.26
22.0,138.0
41.94,138.06
4.8700000000000045,138.13
41.81,138.19
51.75,138.25
41.69,138.31
41.629999999999995,138.37
20.439999999999998,138.44
51.5,138.5
21.0,139.0
60.5,139.5
10.0,140.0
69.5,140.5
39.0,141.0
58.5,141.5
19.0,142.0
12.5,142.5
27.879999999999995,142.88
36.75,143.25
16.379999999999995,143.62
36.0,144.0
35.620000000000005,144.38
15.25,144.75
34.879999999999995,145.12
4.5,145.5
33.379999999999995,146.62
32.25999999999999,147.74
41.120000000000005,148.88
40.0,150.0
58.879999999999995,151.12
37.74000000000001,152.26
36.620000000000005,153.38
35.5,154.5
34.620000000000005,155.38
33.75,156.25
32.879999999999995,157.12
52.0,158.0
51.120000000000005,158.88
50.25,159.75
29.379999999999995,160.62
48.5,161.5
48.56,161.44
28.620000000000005,161.38
28.689999999999998,161.31
28.75,161.25
38.81,161.19
38.879999999999995,161.12
38.94,161.06
59.0,161.0
38.0,162.0
37.0,163.0
36.0,164.0
35.0,165.0
34.0,166.0
43.0,167.0
48.0,168.0
49.0,169.0
49.68000000000001,170.32
38.370000000000005,171.63
27.069999999999993,172.93
35.75,174.25
34.43000000000001,175.57
33.129999999999995,176.87
48.18000000000001,178.18
59.5,179.5
41.629999999999995,181.63
63.75999999999999,183.76
35.870000000000005,185.87
38.0,188.0
70.13,190.13
72.24000000000001,192.24
74.37,194.37
66.5,196.5
67.81,197.81
69.12,199.12
70.44,200.44
